pH;Ionization_1;Ionization_2;Ionization_3;Ionization_4;Ionization_5;Ionization_6;Ionization_7;Ionization_8;Ionization_9;Ionization_10;Ionization_11
13;0;0.028;0.012;33.215;31.59;28.641;0.859;4.097;0.804;0.588;0.083
13;0;0.019;0.008;27.888;33.391;30.273;0.907;5.452;1.07;0.783;0.139
13;0;0.012;0.005;23.023;34.705;31.464;0.943;7.134;1.401;1.025;0.229
13;0;0.008;0.003;18.689;35.465;32.153;0.964;9.177;1.802;1.318;0.371
13;0;0.005;0.002;14.913;35.627;32.3;0.968;11.607;2.279;1.667;0.59
14;0;0.003;0.001;11.694;35.171;31.887;0.956;14.425;2.832;2.072;0.924
14;0;0.002;0.001;9.007;34.103;30.919;0.927;17.608;3.457;2.529;1.42
14;0;0.001;0.001;6.808;32.454;29.423;0.882;21.095;4.142;3.03;2.141
14;0;0.001;0;5.046;30.283;27.456;0.823;24.781;4.866;3.559;3.166
14;0;0;0;3.664;27.679;25.094;0.752;28.515;5.599;4.095;4.587
14;0;0;0;2.603;24.753;22.442;0.673;32.103;6.304;4.611;6.501
